User
UserID, GroupID, UserName, Password, ExpirationDate, FullName, Department, PhoneNumber, MobileNumber, Email, Enabled, UserRights, LogTimes, Status, IsPwdForEver, LockedDate, EVPerHour, EVPerHour_sheet, HourPerDay, DayPerWeek, DayPerMonth, ActivityState, EVPerDay, EVPerMonth, SiteID, AllowModifyPassword, ExpirationPeriod, AccountID
12, 3, Erin, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:24:03 PM, Erin, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
13, 3, Susan, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:24:15 PM, Susan, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
14, 3, Jason, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:24:27 PM, Jason, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
15, 3, Ray, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:24:38 PM, Ray, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
16, 3, Bill, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:24:48 PM, Bill, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
17, 3, Sean, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:25:03 PM, Sean, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
18, 3, Tom, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:25:30 PM, Tom, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
19, 3, Tim, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:25:54 PM, Tim, , , , , , 00000000000010000000001110001000000000000000100000000001, 0, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
21, 3, ReprintStation_ICD, 1B2M2Y8AsgTpgAmY7PhCfg==, 8/23/2016 9:44:30 PM, ReprintStation_ICD, , , , , , 0000000000000000000000100000000000000000000, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 365, 
22, 3, Zach, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:56:55 PM, Zach, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
23, 3, Ted, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:57:08 PM, Ted, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
24, 3, Sharon, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:57:26 PM, Sharon, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
25, 3, Pete, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:57:40 PM, Pete, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
26, 3, Wendy, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:57:56 PM, Wendy, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
27, 3, Sara, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:58:11 PM, Sara, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
28, 3, Ken, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:58:25 PM, Ken, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
29, 3, Roman, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:58:39 PM, Roman, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
30, 3, Dennis, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:58:58 PM, Dennis, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
31, 3, Henry, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:59:14 PM, Henry, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
32, 3, Heather, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/25/2017 10:59:31 PM, Heather, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
34, 3, 3900Z_ICD, 1B2M2Y8AsgTpgAmY7PhCfg==, 8/27/2016 11:52:43 PM, 3900Z_ICD, , , , , , 0000000000000000000000100000000000000000000, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 365, 
36, 3, BH3500B_ICD, 1B2M2Y8AsgTpgAmY7PhCfg==, 8/27/2016 11:57:47 PM, BH3500B_ICD, , , , , , 0000000000000000000000100000000000000000000, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 365, 
37, 3, Laura, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/26/2017 12:07:10 AM, Laura, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
38, 3, Diane, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:01:05 PM, Diane, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
39, 3, Todd, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:02:00 PM, Todd, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
40, 3, Jeff, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:02:13 PM, Jeff, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
41, 3, Lisa, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:02:24 PM, Lisa, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
42, 3, Greg, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:02:37 PM, Greg, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
43, 3, James, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:02:51 PM, James, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
44, 3, Harrold, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:03:11 PM, Harrold, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
45, 3, Doug, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:03:29 PM, Doug, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
46, 3, Joseph, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/28/2017 1:03:45 PM, Jospeh, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 0, 182, 
48, 3, ReprintStationA_ICD, 1B2M2Y8AsgTpgAmY7PhCfg==, 8/30/2016 2:38:49 PM, ReprintStationA_ICD, , , , , , 0000000000000000000000100000000000000000000, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 365, 
50, 3, ReprintStationB_ICD, 1B2M2Y8AsgTpgAmY7PhCfg==, 8/30/2016 4:46:17 PM, ReprintStationB_ICD, , , , , , 0000000000000000000000100000000000000000000, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 365, 
UserGroups
GroupID, GroupName, GroupRights, Description, SiteID
1, Administrators, 111111111111111111111111111111111111111111111111111111110, Administrators, 
2, Managers, 010011001011101001000011100010011011000001100010000000000, Managers, 
3, Operators, 000000000000100000000011100010000000000000001000000000010, Operators, 
4, Technicians, 110011001111101111111111110111111111001011101000000000000, Technicians, 
5, Supervisors, 010010001000100110010011100010101110000001101010000000000, Supervisors, 
